성관,count
이 전주(全州),870
권 안동(安東),368
윤 파평(坡平),346
한 청주(淸州),292
홍 남양(南陽[唐]),292
박 밀양(密陽),267
김 광산(光山),262
이 연안(延安),255
민 여흥(驪興),242
강 진주(晉州),230
김 경주(慶州),213
이 한산(韓山),202
박 반남(潘南),201
정 동래(東萊),199
심 청송(靑松),198
이 광주(廣州),197
이 전의(全義),188
조 풍양(豊壤),187
신 평산(平山),180
이 경주(慶州),180
김 안동(安東[舊]),164
김 연안(延安),163
김 안동(安東[新]),158
임 풍천(豊川),155
남 의령(宜寧),146
서 대구(大丘),143
유 문화(文化),142
성 창녕(昌寧),136
김 김해(金海),130
홍 풍산(豊山),130
안 순흥(順興),124
정 영일(迎日),121
이 여주(驪州),115
윤 해평(海平),115
조 창녕(昌寧),110
최 전주(全州),108
송 여산(礪山),107
김 청풍(淸風),105
이 덕수(德水),102
유 전주(全州),101
조 양주(楊州),100
김 의성(義城),100
오 해주(海州),99
김 강릉(江陵),98
허 양천(陽川),96
조 한양(漢陽),93
유 기계(杞溪),90
신 고령(高靈),88
이 용인(龍仁),88
유 진주(晉州[移]),82
황 창원(昌原),80
송 은진(恩津),79
이 함평(咸平),77
이 성주(星州),75
김 미상(未詳),74
윤 남원(南原),71
조 배천(白川),68
박 함양(咸陽),68
김 상산(商山),68
백 수원(水原),66
정 하동(河東),65
정 해주(海州),62
정 진양(晉陽),62
김 선산(善山),61
정 초계(草溪),60
원 원주(原州),60
이 진성(眞城),60
박 고령(高靈),57
유 진주(晉州[土]),57
정 나주(羅州),55
구 능성(綾城),54
양 남원(南原),54
임 나주(羅州),54
김 순천(順天),51
이 벽진(碧珍),51
장 인동(仁同),50
신 영산(靈山),49
최 해주(海州),48
안 광주(廣州),48
채 평강(平康),45
최 경주(慶州),45
이 미상(未詳),44
황 장수(長水),44
정 온양(溫陽),44
박 죽산(竹山),43
이 양성(陽城),42
홍 남양(南陽[土]),42
이 우봉(牛峰),42
송 진천(鎭川),42
조 임천(林川),42
이 고성(固城),40
문 남평(南平),38
김 풍산(豊山),38
손 밀양(密陽),38
김 예안(禮安),37
하 진양(晉陽),36
최 삭녕(朔寧),36
우 단양(丹陽),35
조 함안(咸安),35
박 순천(順天),35
신 거창(居昌),35
목 사천(泗川),34
이 영천(永川),34
정 광주(光州),34
곽 현풍(玄風),34
고 제주(濟州),34
여 함양(咸陽),33
변 원주(原州),32
오 동복(同福),32
최 강릉(江陵),31
이 부평(富平),31
오 보성(寶城),30
엄 영월(寧越),29
차 연안(延安),29
고 장흥(長興),28
조 평양(平壤),28
김 언양(彦陽),27
이 평창(平昌),27
김 부령(扶寧),27
안 죽산(竹山[舊]),27
윤 칠원(漆原),27
나 나주(羅州),27
남 영양(英陽),26
이 수안(遂安),26
정 경주(慶州),26
강 신천(信川),25
황 평해(平海),25
유 고흥(高興),24
어 함종(咸從),24
박 미상(未詳),24
서 이천(利川),23
이 원주(原州[舊]),23
박 무안(務安),22
유 풍산(豊山),22
기 행주(幸州),22
주 전주(全州),22
김 전주(全州),22
박 충주(忠州),21
최 화순(和順),21
손 경주(慶州),21
채 인천(仁川),21
정 청주(淸州),20
임 평택(平澤),20
최 강화(江華),20
이 단양(丹陽),19
최 수원(水原),19
노 광주(光州),19
윤 해남(海南),19
송 야로(冶爐),19
이 성산(星山),19
노 풍천(豊川),18
윤 무송(茂松),18
노 해주(海州),18
이 광산(光山),18
조 순창(淳昌),17
유 창원(昌原),17
도 성주(星州),16
변 초계(草溪),16
이 재령(載寧),16
안 죽산(竹山[新]),16
나 안정(安定),16
장 덕수(德水),16
허 김해(金海),16
최 미상(未詳),15
이 우계(羽溪),15
허 하양(河陽),15
남 함열(咸悅),15
최 충주(忠州),15
여 성산(星山),15
심 풍산(豊山),15
이 예안(禮安),14
곽 청주(淸州),14
진 여양(驪陽),14
조 미상(未詳),14
장 흥덕(興德),14
경 청주(淸州),14
김 원주(原州),14
양 제주(濟州),14
금 봉화(奉化),14
이 공주(公州),14
정 미상(未詳),13
김 개성(開城),13
이 합천(陜川),13
맹 신창(新昌),13
위 장흥(長興),13
이 함안(咸安),12
전 담양(潭陽),12
양 청주(淸州),12
김 울산(蔚山),12
전 정선(旌善),12
김 도강(道康),12
김 영광(靈光),12
고 개성(開城),12
남 고성(固城),12
오 함양(咸陽),12
배 흥해(興海),12
소 진주(晉州),12
오 나주(羅州),12
노 교하(交河),12
김 안산(安山),11
박 음성(陰城),11
방 남양(南陽),11
박 울산(蔚山),11
김 공주(公州),11
박 상주(尙州),11
김 수원(水原),10
최 양천(陽川),10
지 충주(忠州),10
배 성산(星山),10
김 진주(晉州),10
권 예천(醴泉),10
문 감천(甘泉),9
신 아주(鵝洲),9
이 안성(安城),9
김 서흥(瑞興),9
이 청주(淸州),9
왕 개성(開城),9
방 온양(溫陽),9
이 덕산(德山),9
김 청도(淸道),9
송 홍주(洪州),9
이 인천(仁川),9
김 영동(永同),9
유 서산(瑞山),9
이 홍주(洪州),9
임 장흥(長興),8
서 미상(未詳),8
변 황주(黃州),8
홍 부계(缶溪),8
김 해풍(海豊),8
김 청주(淸州),8
손 평해(平海),8
이 신평(新平),8
장 창녕(昌寧),8
공 곡부(曲阜),8
김 나주(羅州),8
정 봉화(奉化),8
장 인동(仁同[2]),8
김 양주(楊州),8
전 용궁(龍宮),8
이 청해(靑海),8
유 강릉(江陵),8
김 삼척(三陟),8
최 탐진(耽津),7
전 옥천(沃川),7
복 면천(沔川),7
탁 광산(光山),7
황 황주(黃州),7
한 미상(未詳),7
박 경주(慶州),7
선 보성(寶城),7
윤 함안(咸安),7
조 횡성(橫城),7
장 단양(丹陽),7
이 흥양(興陽),7
마 목천(木川),7
오 미상(未詳),7
윤 양주(楊州),7
김 해평(海平),7
